id,age,reading_speed,reading_accuracy,reading_comprehension,writing_speed,writing_quality,grammar_sentence,phonetic_spelling,irregular_word_spelling,spelling_accuracy,reading_avg,writing_avg,spelling_avg,primary_focus,secondary_focus,tertiary_focus,difficulty_level
20,9,78,91,67,62,75,64,77,56,63,79,67,65,Spelling,Writing,Reading,Mild
21,8,55,30,39,7,37,30,31,41,24,41,25,32,Writing,Spelling,Reading,Severe
22,6,42,38,27,8,3,19,35,12,0,36,10,16,Writing,Spelling,Reading,Profound
23,7,79,39,58,48,25,73,39,43,58,59,49,47,Spelling,Writing,Reading,Moderate
24,12,66,38,73,40,58,50,51,50,38,59,49,46,Spelling,Writing,Reading,Moderate
25,6,70,41,49,52,61,36,52,34,59,53,50,48,Spelling,Writing,Reading,Moderate
26,6,46,36,16,9,21,31,29,17,29,33,20,25,Writing,Spelling,Reading,Profound
27,9,36,69,49,20,45,56,26,36,33,51,40,32,Spelling,Writing,Reading,Moderate
28,11,62,80,76,67,80,64,89,69,67,73,70,75,Writing,Reading,Spelling,Mild
29,10,25,64,19,76,44,77,45,58,69,36,66,57,Reading,Spelling,Writing,Moderate
30,11,90,67,80,57,48,74,55,60,87,79,60,67,Writing,Spelling,Reading,Mild
31,12,34,35,7,7,31,30,0,20,48,25,23,23,Writing,Spelling,Reading,Profound
32,9,41,39,50,32,29,52,15,13,26,43,38,18,Spelling,Writing,Reading,Severe
33,10,40,5,40,17,30,16,16,39,10,28,21,22,Writing,Spelling,Reading,Profound
34,8,0,30,19,19,46,20,33,5,20,16,28,19,Reading,Spelling,Writing,Profound
35,10,38,46,11,35,61,14,13,39,13,32,37,22,Spelling,Reading,Writing,Severe
36,12,86,79,61,49,75,62,60,88,80,75,62,76,Writing,Reading,Spelling,Mild
37,8,61,53,73,44,28,58,26,47,21,62,43,31,Spelling,Writing,Reading,Moderate
38,6,35,34,24,9,65,16,29,15,30,31,30,25,Spelling,Writing,Reading,Severe
39,12,54,29,46,13,10,11,29,15,34,43,11,26,Writing,Spelling,Reading,Profound
40,9,15,9,53,38,48,51,5,21,47,26,46,24,Spelling,Reading,Writing,Severe
41,6,95,76,54,83,75,69,67,56,69,75,76,64,Spelling,Reading,Writing,Mild
42,7,67,34,50,27,42,54,32,58,54,50,41,48,Writing,Spelling,Reading,Moderate
43,8,47,6,36,11,40,39,0,32,31,30,30,21,Spelling,Reading,Writing,Profound
44,7,62,67,80,68,89,56,72,52,71,70,71,65,Spelling,Reading,Writing,Mild
45,11,84,57,34,60,65,61,60,52,30,58,62,47,Spelling,Reading,Writing,Moderate
46,11,82,61,58,94,76,61,73,72,54,67,77,66,Spelling,Reading,Writing,Mild
47,6,7,12,6,0,13,0,21,23,24,8,4,23,Writing,Reading,Spelling,Profound
48,8,38,25,35,13,30,5,12,33,32,33,16,26,Writing,Spelling,Reading,Profound
49,10,30,4,24,13,11,1,21,18,40,19,8,26,Writing,Reading,Spelling,Profound
50,10,17,48,10,39,25,33,52,52,18,25,32,41,Reading,Writing,Spelling,Severe
51,10,57,55,37,43,35,48,47,49,48,50,42,48,Writing,Spelling,Reading,Moderate
52,11,65,55,88,67,46,70,66,82,67,69,61,72,Writing,Reading,Spelling,Mild
53,11,49,42,63,30,42,34,39,35,20,51,35,31,Spelling,Writing,Reading,Severe
54,9,38,24,49,56,20,46,34,22,51,37,41,36,Spelling,Reading,Writing,Severe
55,8,76,81,71,73,71,83,50,45,79,76,76,58,Spelling,Reading,Writing,Mild
56,10,86,71,85,73,67,84,58,55,64,81,75,59,Spelling,Writing,Reading,Mild
57,6,28,40,45,56,44,63,42,45,71,38,54,53,Reading,Spelling,Writing,Moderate
58,11,11,28,17,20,32,20,23,31,6,19,24,20,Reading,Spelling,Writing,Profound
59,12,32,49,21,26,54,14,19,29,45,34,31,31,Writing,Spelling,Reading,Severe
60,6,67,23,42,58,50,50,50,33,4,44,53,29,Spelling,Reading,Writing,Severe
61,9,20,25,30,31,18,13,46,13,29,25,21,29,Writing,Reading,Spelling,Profound
62,8,17,25,33,30,27,47,0,23,35,25,35,19,Spelling,Reading,Writing,Profound
63,8,36,43,15,24,31,24,20,25,6,31,26,17,Spelling,Writing,Reading,Profound
64,8,40,57,49,43,64,30,22,10,22,49,46,18,Spelling,Writing,Reading,Severe
65,9,100,63,73,77,66,62,83,75,57,79,68,72,Writing,Spelling,Reading,Mild
66,6,62,84,51,61,63,91,79,68,67,66,72,71,Reading,Spelling,Writing,Mild
67,7,18,24,36,22,14,42,5,49,60,26,26,38,Reading,Writing,Spelling,Severe
68,6,57,31,58,30,48,17,53,39,19,49,32,37,Writing,Spelling,Reading,Severe
69,9,46,52,50,46,54,61,62,55,59,49,54,59,Reading,Writing,Spelling,Moderate
70,11,93,74,80,86,77,66,60,53,59,82,76,57,Spelling,Writing,Reading,Mild
71,6,94,54,77,89,92,68,96,93,63,75,83,84,Reading,Writing,Spelling,Mild
72,8,18,19,11,21,19,24,0,46,15,16,21,20,Reading,Spelling,Writing,Profound
73,8,33,25,21,41,27,38,2,30,21,26,35,18,Spelling,Reading,Writing,Severe
74,11,28,39,35,73,36,40,24,53,63,34,50,47,Reading,Spelling,Writing,Moderate
75,11,54,40,81,32,38,41,34,40,22,58,37,32,Spelling,Writing,Reading,Moderate
76,7,34,42,62,39,35,35,70,41,48,46,36,53,Writing,Reading,Spelling,Moderate
77,11,23,53,75,70,66,29,32,48,46,50,55,42,Spelling,Reading,Writing,Moderate
78,6,0,28,2,23,5,1,24,27,20,10,10,24,Reading,Writing,Spelling,Profound
79,7,61,60,87,70,54,62,62,89,66,69,62,72,Writing,Reading,Spelling,Mild
80,10,41,70,49,48,50,15,51,72,48,53,38,57,Writing,Reading,Spelling,Moderate
81,9,39,29,46,44,9,12,21,17,56,38,22,31,Writing,Spelling,Reading,Severe
82,6,21,49,54,40,34,30,41,7,60,41,35,36,Writing,Spelling,Reading,Severe
83,10,81,73,70,25,52,77,39,55,44,75,51,46,Spelling,Writing,Reading,Moderate
84,6,28,66,52,28,63,46,40,32,43,49,46,38,Spelling,Writing,Reading,Moderate
85,7,22,65,56,54,25,17,37,51,24,48,32,37,Writing,Spelling,Reading,Severe
86,6,47,37,37,11,8,25,45,6,8,40,15,20,Writing,Spelling,Reading,Profound
87,10,34,57,40,35,37,35,34,56,42,44,36,44,Writing,Reading,Spelling,Severe
88,10,33,27,14,42,8,30,19,33,0,25,27,17,Spelling,Reading,Writing,Profound
89,7,11,36,25,0,27,14,16,47,7,24,14,23,Writing,Spelling,Reading,Profound
90,6,14,26,14,33,28,22,48,23,6,18,28,26,Reading,Spelling,Writing,Profound
91,10,38,6,28,1,50,43,11,31,30,24,31,24,Reading,Spelling,Writing,Profound
92,8,31,30,40,33,29,24,27,15,13,34,29,18,Spelling,Writing,Reading,Severe
93,9,56,23,47,45,46,35,30,31,24,42,42,28,Spelling,Reading,Writing,Severe
94,12,47,21,17,6,29,0,53,41,9,28,12,34,Writing,Reading,Spelling,Severe
95,9,39,49,36,53,25,4,37,25,30,41,27,31,Writing,Spelling,Reading,Severe
96,10,37,29,69,21,19,21,55,24,21,45,20,33,Writing,Spelling,Reading,Severe
97,6,15,0,13,35,19,9,5,34,25,9,21,21,Reading,Writing,Spelling,Profound
98,11,12,13,20,31,42,40,1,20,39,15,38,20,Reading,Spelling,Writing,Profound
99,9,0,30,14,0,33,2,22,24,14,15,12,20,Writing,Reading,Spelling,Profound
100,7,57,24,57,31,33,16,55,12,56,46,27,41,Writing,Spelling,Reading,Severe
101,8,64,45,30,37,53,37,28,30,19,46,42,26,Spelling,Writing,Reading,Severe
102,12,50,35,26,47,54,73,73,22,26,37,58,40,Reading,Spelling,Writing,Moderate
103,9,37,27,32,5,33,9,2,22,0,32,16,8,Spelling,Writing,Reading,Profound
104,7,17,33,36,25,2,41,7,46,35,29,23,29,Writing,Reading,Spelling,Severe
105,7,18,29,5,30,12,23,16,0,5,17,22,7,Spelling,Reading,Writing,Profound
106,7,55,53,44,24,47,58,40,51,56,51,43,49,Writing,Spelling,Reading,Moderate
107,11,62,58,45,60,46,39,37,47,52,55,48,45,Spelling,Writing,Reading,Moderate
108,7,46,38,18,28,34,37,12,33,0,34,33,15,Spelling,Writing,Reading,Profound
109,12,57,69,72,57,70,49,59,64,74,66,59,66,Writing,Reading,Spelling,Mild
110,9,26,70,54,51,24,9,48,41,22,50,28,37,Writing,Spelling,Reading,Severe
111,12,61,76,36,33,57,58,53,20,61,58,49,45,Spelling,Writing,Reading,Moderate
112,10,22,32,67,21,28,43,14,47,43,40,31,35,Writing,Spelling,Reading,Severe
113,7,16,7,31,0,28,16,9,19,16,18,15,15,Writing,Spelling,Reading,Profound
114,11,61,50,63,14,26,48,44,15,44,58,29,34,Writing,Spelling,Reading,Severe
115,10,32,29,33,13,43,1,24,29,42,31,19,32,Writing,Reading,Spelling,Severe
116,9,59,51,42,29,71,67,46,60,46,51,56,51,Reading,Spelling,Writing,Moderate
117,9,68,44,78,50,27,36,63,64,57,63,38,61,Writing,Spelling,Reading,Moderate
118,6,37,25,60,19,35,69,18,46,48,41,41,37,Spelling,Reading,Writing,Moderate
119,11,69,51,34,64,58,41,56,76,63,51,54,65,Reading,Writing,Spelling,Moderate
120,10,96,62,82,52,69,64,87,69,59,80,62,72,Writing,Spelling,Reading,Mild
121,9,60,62,78,46,48,58,54,60,53,67,51,56,Writing,Spelling,Reading,Moderate
122,7,26,6,34,14,24,40,22,10,1,22,26,11,Spelling,Reading,Writing,Profound
123,9,46,46,35,37,32,40,59,38,46,42,36,48,Writing,Reading,Spelling,Severe
124,11,26,39,49,27,46,20,27,16,21,38,31,21,Spelling,Writing,Reading,Profound
125,12,7,51,31,5,13,26,19,0,16,30,15,12,Spelling,Writing,Reading,Profound
126,12,35,31,61,28,47,25,17,45,39,42,33,34,Writing,Spelling,Reading,Severe
127,7,93,54,86,49,62,89,53,59,43,78,67,52,Spelling,Writing,Reading,Mild
128,6,53,28,46,23,37,20,18,58,25,42,27,34,Writing,Spelling,Reading,Severe
129,10,53,98,88,88,84,79,62,63,55,80,84,60,Spelling,Reading,Writing,Mild
130,12,80,56,72,99,62,74,54,56,80,69,78,63,Spelling,Reading,Writing,Mild
131,8,37,70,63,40,47,50,31,17,24,57,46,24,Spelling,Writing,Reading,Moderate
132,8,75,91,72,46,62,70,89,73,80,79,59,81,Writing,Reading,Spelling,Mild
133,11,25,4,28,28,5,20,7,1,8,19,18,5,Spelling,Writing,Reading,Profound
134,8,1,27,20,0,36,33,14,8,32,16,23,18,Reading,Spelling,Writing,Profound
135,10,29,24,39,0,30,0,30,19,21,31,10,23,Writing,Spelling,Reading,Profound
136,11,61,52,72,60,61,41,46,33,51,62,54,43,Spelling,Writing,Reading,Moderate
137,7,31,32,37,22,25,28,2,31,36,33,25,23,Spelling,Writing,Reading,Profound
138,11,49,69,55,61,66,49,54,30,48,58,59,44,Spelling,Reading,Writing,Moderate
139,10,46,15,53,10,19,53,35,22,37,38,27,31,Writing,Spelling,Reading,Severe
140,8,34,52,47,15,29,22,40,50,41,44,22,44,Writing,Reading,Spelling,Severe
141,12,61,66,69,52,56,44,58,36,34,65,51,43,Spelling,Writing,Reading,Moderate
142,8,80,69,63,64,49,59,50,49,92,71,57,64,Writing,Spelling,Reading,Mild
143,6,23,67,56,60,32,72,43,33,46,49,55,41,Spelling,Reading,Writing,Moderate
144,9,82,58,77,75,68,71,89,80,77,72,71,82,Writing,Reading,Spelling,Mild
145,10,20,38,14,25,9,11,45,43,54,24,15,47,Writing,Reading,Spelling,Severe
146,8,63,62,36,63,75,51,56,50,31,54,63,46,Spelling,Reading,Writing,Moderate
147,6,10,34,35,11,24,4,32,21,44,26,13,32,Writing,Reading,Spelling,Profound
148,9,51,43,38,39,26,21,16,27,24,44,29,22,Spelling,Writing,Reading,Severe
149,10,33,52,28,44,34,16,17,55,15,38,31,29,Spelling,Writing,Reading,Severe
150,12,15,36,14,13,22,16,30,4,22,22,17,19,Writing,Spelling,Reading,Profound
151,6,17,0,28,26,14,24,0,7,14,15,21,7,Spelling,Reading,Writing,Profound
152,6,23,38,39,46,42,59,24,13,31,33,49,23,Spelling,Reading,Writing,Severe
153,7,68,51,30,36,57,65,61,62,71,50,53,65,Reading,Writing,Spelling,Moderate
154,8,80,76,70,43,48,43,58,43,42,75,45,48,Writing,Spelling,Reading,Moderate
155,8,44,56,56,41,46,53,38,54,54,52,47,49,Writing,Spelling,Reading,Moderate
156,7,44,68,38,5,18,29,27,51,45,50,17,41,Writing,Spelling,Reading,Severe
157,6,68,65,90,89,88,78,62,77,87,74,85,75,Reading,Spelling,Writing,Mild
158,11,38,36,13,0,16,34,1,5,23,29,17,10,Spelling,Writing,Reading,Profound
159,9,36,26,14,44,3,39,37,31,4,25,29,24,Spelling,Reading,Writing,Profound
160,9,25,67,35,39,42,11,26,28,28,42,31,27,Spelling,Writing,Reading,Severe
161,12,56,65,58,40,28,39,47,38,36,60,36,40,Writing,Spelling,Reading,Moderate
162,10,29,35,33,51,62,25,57,62,40,32,46,53,Reading,Writing,Spelling,Moderate
163,7,43,43,37,34,42,56,59,49,71,41,44,60,Reading,Writing,Spelling,Moderate
164,8,57,51,28,39,54,59,24,37,42,45,51,34,Spelling,Reading,Writing,Moderate
165,7,53,46,47,44,58,39,70,53,52,49,47,58,Writing,Reading,Spelling,Moderate
166,7,81,65,84,77,56,85,55,41,62,77,73,53,Spelling,Writing,Reading,Mild
167,7,14,21,42,30,17,51,38,32,19,26,33,30,Reading,Spelling,Writing,Severe
168,9,78,42,62,46,60,67,54,37,35,61,58,42,Spelling,Writing,Reading,Moderate
169,8,85,62,91,64,56,60,71,85,44,79,60,67,Writing,Spelling,Reading,Mild
170,6,26,38,21,22,6,24,0,23,26,28,17,16,Spelling,Writing,Reading,Profound
171,12,88,55,89,61,53,69,63,61,65,77,61,63,Writing,Spelling,Reading,Mild
172,12,59,22,32,32,66,59,21,42,47,38,52,37,Spelling,Reading,Writing,Severe
173,10,56,10,33,59,40,34,45,18,15,33,44,26,Spelling,Reading,Writing,Severe
174,10,51,48,66,44,32,27,55,54,53,55,34,54,Writing,Spelling,Reading,Moderate
175,6,67,52,64,61,22,77,56,45,40,61,53,47,Spelling,Writing,Reading,Moderate
176,10,0,10,33,10,28,32,30,29,2,14,23,20,Reading,Spelling,Writing,Profound
177,10,58,49,58,24,66,26,63,51,63,55,39,59,Writing,Reading,Spelling,Moderate
178,9,45,48,20,49,37,62,34,8,31,38,49,24,Spelling,Reading,Writing,Severe
179,11,24,7,9,20,10,33,13,0,11,13,21,8,Spelling,Reading,Writing,Profound
180,9,27,41,38,34,22,41,32,42,28,35,32,34,Writing,Spelling,Reading,Severe
181,12,34,67,64,62,57,42,45,71,15,55,54,44,Spelling,Writing,Reading,Moderate
182,10,38,47,14,29,30,38,42,22,38,33,32,34,Writing,Reading,Spelling,Severe
183,9,72,37,27,27,33,55,54,77,33,45,38,55,Writing,Reading,Spelling,Moderate
184,11,53,94,47,92,93,62,75,79,72,65,82,75,Reading,Spelling,Writing,Mild
185,7,59,39,38,61,36,47,38,35,47,45,48,40,Spelling,Reading,Writing,Severe
186,11,64,78,100,78,76,77,74,67,77,81,77,73,Spelling,Writing,Reading,Mild
187,11,37,47,2,18,40,37,35,30,6,29,32,24,Spelling,Reading,Writing,Profound
188,8,53,72,77,20,35,60,53,18,57,67,38,43,Writing,Spelling,Reading,Moderate
189,8,83,78,57,27,33,73,46,60,48,73,44,51,Writing,Spelling,Reading,Moderate
190,11,38,47,82,59,49,40,24,50,35,56,49,36,Spelling,Writing,Reading,Moderate
191,8,35,66,46,23,32,69,61,26,32,49,41,40,Spelling,Writing,Reading,Moderate
192,12,71,75,79,60,52,37,47,59,28,75,50,45,Spelling,Writing,Reading,Moderate
193,7,24,12,49,48,41,8,37,49,48,28,32,45,Reading,Writing,Spelling,Severe
194,10,43,48,40,41,6,36,9,38,11,44,28,19,Spelling,Writing,Reading,Severe
195,8,35,10,13,21,10,37,20,33,4,19,23,19,Reading,Spelling,Writing,Profound
196,6,27,53,48,38,29,35,35,52,11,43,34,33,Spelling,Writing,Reading,Severe
197,8,50,58,57,57,20,33,36,10,50,55,37,32,Spelling,Writing,Reading,Severe
198,6,30,48,48,21,35,31,39,41,36,42,29,39,Writing,Spelling,Reading,Severe
199,10,16,15,45,35,40,39,41,32,19,25,38,31,Reading,Spelling,Writing,Severe
200,10,2,9,40,26,0,26,10,4,0,17,17,5,Spelling,Reading,Writing,Profound
201,7,44,45,37,50,47,77,51,52,68,42,58,57,Reading,Spelling,Writing,Moderate
202,6,11,6,0,3,33,40,24,17,16,6,25,19,Reading,Spelling,Writing,Profound
203,12,100,82,62,93,89,69,75,57,66,81,84,66,Spelling,Reading,Writing,Mild
204,6,4,5,16,6,8,7,39,42,11,8,7,31,Writing,Reading,Spelling,Profound
205,10,25,44,65,33,39,59,54,35,35,45,44,41,Spelling,Writing,Reading,Moderate
206,9,39,47,32,57,47,50,30,79,42,39,51,50,Reading,Spelling,Writing,Moderate
207,9,18,57,47,64,6,16,35,53,29,41,29,39,Writing,Spelling,Reading,Severe
208,12,76,38,61,45,41,48,42,50,64,58,45,52,Writing,Spelling,Reading,Moderate
209,7,11,39,43,42,15,19,29,16,32,31,25,26,Writing,Spelling,Reading,Severe
210,10,51,46,37,43,60,41,25,51,69,45,48,48,Reading,Writing,Spelling,Moderate
211,8,24,16,18,12,44,30,18,23,24,19,29,22,Reading,Spelling,Writing,Profound
212,10,24,46,48,8,27,2,28,0,31,39,12,20,Writing,Spelling,Reading,Profound
213,9,36,36,58,49,24,67,39,69,36,43,47,48,Reading,Writing,Spelling,Moderate
214,9,30,26,64,65,41,26,65,55,64,40,44,61,Reading,Writing,Spelling,Moderate
215,9,18,2,26,49,26,21,16,12,15,15,32,14,Spelling,Reading,Writing,Profound
216,6,57,32,37,50,41,42,42,32,43,42,44,39,Spelling,Reading,Writing,Severe
217,10,79,86,59,65,52,79,67,74,81,75,65,74,Writing,Spelling,Reading,Mild
218,12,40,26,44,1,28,46,30,12,1,37,25,14,Spelling,Writing,Reading,Severe
219,7,62,57,31,78,57,54,55,25,39,50,63,40,Spelling,Reading,Writing,Moderate
220,8,43,31,18,50,29,30,49,10,21,31,36,27,Spelling,Reading,Writing,Severe
221,7,42,67,33,44,59,29,46,57,22,47,44,42,Spelling,Writing,Reading,Severe
222,6,36,33,19,29,20,5,37,58,13,29,18,36,Writing,Reading,Spelling,Severe
223,7,42,8,5,32,15,34,20,0,9,18,27,10,Spelling,Reading,Writing,Profound
224,7,71,61,82,64,83,80,93,92,60,71,76,82,Reading,Writing,Spelling,Mild
225,9,33,61,69,19,34,61,38,23,63,54,38,41,Writing,Spelling,Reading,Severe
226,9,69,48,39,37,33,59,12,41,22,52,43,25,Spelling,Writing,Reading,Severe
227,8,62,94,83,94,65,67,82,89,96,80,75,89,Writing,Reading,Spelling,Mild
228,6,49,46,58,24,42,24,52,14,49,51,30,38,Writing,Spelling,Reading,Severe
229,11,37,59,73,53,56,38,36,47,73,56,49,52,Writing,Spelling,Reading,Moderate
230,8,75,55,69,49,40,53,50,35,31,66,47,39,Spelling,Writing,Reading,Moderate
231,6,14,11,22,36,25,26,30,30,6,16,29,22,Reading,Spelling,Writing,Profound
232,8,29,43,32,23,15,8,1,23,21,35,15,15,Writing,Spelling,Reading,Profound
233,6,73,55,88,69,90,63,79,100,69,72,74,83,Reading,Writing,Spelling,Mild
234,11,42,19,43,42,30,3,15,39,16,35,25,23,Spelling,Writing,Reading,Severe
235,6,24,29,35,6,3,47,19,19,20,29,19,19,Writing,Spelling,Reading,Profound
236,10,26,19,14,15,35,27,15,24,24,20,26,21,Reading,Spelling,Writing,Profound
237,10,42,67,60,67,51,23,55,28,46,56,47,43,Spelling,Writing,Reading,Moderate
238,12,6,9,22,25,10,20,9,36,14,12,18,20,Reading,Writing,Spelling,Profound
239,12,63,81,76,78,53,62,65,95,80,73,64,80,Writing,Reading,Spelling,Mild
240,10,11,47,30,21,36,8,42,18,15,29,22,25,Writing,Spelling,Reading,Profound
241,8,75,69,54,62,79,52,96,86,50,66,64,77,Writing,Reading,Spelling,Mild
242,7,97,79,53,85,68,65,88,70,86,76,73,81,Writing,Reading,Spelling,Mild
243,11,65,25,43,69,58,43,46,57,49,44,57,51,Reading,Spelling,Writing,Moderate
244,8,26,60,34,20,36,31,62,41,30,40,29,44,Writing,Reading,Spelling,Severe
245,11,62,43,66,65,43,36,45,49,38,57,48,44,Spelling,Writing,Reading,Moderate
246,12,32,40,16,24,29,44,59,15,22,29,32,32,Reading,Writing,Spelling,Severe
247,7,0,51,18,16,10,15,8,41,36,23,14,28,Writing,Reading,Spelling,Profound
248,7,9,10,48,10,24,43,30,0,14,22,26,15,Spelling,Reading,Writing,Profound
249,9,66,61,56,24,50,52,27,48,33,61,42,36,Spelling,Writing,Reading,Moderate
250,8,24,51,24,15,22,22,10,57,17,33,20,28,Writing,Spelling,Reading,Severe
251,8,55,53,41,4,35,41,55,33,53,50,27,47,Writing,Spelling,Reading,Severe
252,12,29,44,30,33,12,33,45,32,34,34,26,37,Writing,Reading,Spelling,Severe
253,9,39,34,31,23,60,17,49,22,20,35,33,30,Spelling,Writing,Reading,Severe
254,7,53,40,4,65,46,41,42,61,29,32,51,44,Reading,Spelling,Writing,Severe
255,8,25,10,39,44,28,10,7,5,32,25,27,15,Spelling,Reading,Writing,Profound
256,7,38,20,8,0,29,32,11,41,12,22,20,21,Writing,Spelling,Reading,Profound
257,11,76,100,63,61,42,63,85,76,92,80,55,84,Writing,Reading,Spelling,Mild
258,6,63,90,84,61,49,91,71,93,81,79,67,82,Writing,Reading,Spelling,Mild
259,11,48,21,14,20,15,7,8,8,19,28,14,12,Spelling,Writing,Reading,Profound
260,10,59,23,80,40,60,45,40,22,20,54,48,27,Spelling,Writing,Reading,Moderate
261,12,17,24,11,35,25,20,10,2,43,17,27,18,Reading,Spelling,Writing,Profound
262,10,9,26,30,26,13,49,22,18,50,22,29,30,Reading,Writing,Spelling,Severe
263,9,20,8,22,22,34,11,0,47,0,17,22,16,Spelling,Reading,Writing,Profound
264,6,99,71,85,71,58,68,45,60,56,85,66,54,Spelling,Writing,Reading,Mild
265,11,7,19,47,18,8,0,31,23,3,24,9,19,Writing,Spelling,Reading,Profound
266,7,16,51,23,15,8,41,48,38,4,30,21,30,Writing,Reading,Spelling,Severe
267,10,13,31,15,44,0,44,12,24,27,20,29,21,Reading,Spelling,Writing,Profound
268,7,84,70,59,80,65,68,53,82,57,71,71,64,Spelling,Reading,Writing,Mild
269,12,35,79,40,64,34,51,67,13,67,51,50,49,Spelling,Writing,Reading,Moderate
270,9,14,46,27,15,21,51,20,23,52,29,29,32,Reading,Writing,Spelling,Severe
271,6,54,29,54,29,26,67,44,65,59,46,41,56,Writing,Reading,Spelling,Moderate
272,9,53,43,64,22,69,58,44,30,74,53,50,49,Spelling,Writing,Reading,Moderate
273,9,64,87,60,55,83,94,72,70,69,70,77,70,Reading,Spelling,Writing,Mild
274,8,13,55,11,47,1,14,41,37,0,26,21,26,Writing,Reading,Spelling,Profound
275,12,58,61,44,26,30,39,48,37,44,54,32,43,Writing,Spelling,Reading,Moderate
276,7,27,32,39,33,34,13,30,36,25,33,27,30,Writing,Spelling,Reading,Severe
277,8,50,86,79,79,53,55,52,59,72,72,62,61,Spelling,Writing,Reading,Mild
278,6,0,24,11,36,6,28,46,26,36,12,23,36,Reading,Writing,Spelling,Profound
279,10,53,43,4,16,20,1,3,28,57,33,12,29,Writing,Spelling,Reading,Severe
280,11,54,55,48,38,50,49,20,39,41,52,46,33,Spelling,Writing,Reading,Moderate
281,10,89,67,78,80,58,69,89,56,70,78,69,72,Writing,Spelling,Reading,Mild
282,12,33,39,27,43,25,53,40,44,19,33,40,34,Reading,Spelling,Writing,Severe
283,11,30,51,34,41,15,34,37,26,42,38,30,35,Writing,Spelling,Reading,Severe
284,12,62,47,38,55,32,8,36,9,21,49,32,22,Spelling,Writing,Reading,Severe
285,6,13,27,33,39,41,31,28,21,15,24,37,21,Spelling,Reading,Writing,Severe
286,9,28,33,0,18,30,43,23,5,21,20,30,16,Spelling,Reading,Writing,Profound
287,8,38,19,23,0,0,18,24,18,28,27,6,23,Writing,Spelling,Reading,Profound
288,7,61,85,95,67,64,61,79,91,51,80,64,74,Writing,Spelling,Reading,Mild
289,8,11,16,13,34,25,23,30,6,12,13,27,16,Reading,Spelling,Writing,Profound
290,9,7,40,12,15,26,24,28,23,10,20,22,20,Reading,Spelling,Writing,Profound
291,6,44,33,53,58,44,30,71,59,49,43,44,60,Reading,Writing,Spelling,Moderate
292,12,41,35,14,41,23,0,26,23,36,30,21,28,Writing,Spelling,Reading,Profound
293,8,16,24,44,35,15,55,57,51,53,28,35,54,Reading,Writing,Spelling,Severe
294,7,51,40,10,1,5,7,0,26,27,34,4,18,Writing,Spelling,Reading,Profound
295,9,58,45,61,29,57,43,9,57,58,55,43,41,Spelling,Writing,Reading,Severe
296,8,70,63,78,68,49,63,56,73,69,70,60,66,Writing,Spelling,Reading,Mild
297,11,68,62,70,26,37,43,34,67,77,67,35,59,Writing,Spelling,Reading,Moderate
298,11,29,24,47,36,44,45,39,36,31,33,42,35,Reading,Spelling,Writing,Severe
299,6,50,10,56,13,59,17,27,8,44,39,30,26,Spelling,Writing,Reading,Severe
300,11,34,75,79,56,71,37,51,61,60,63,55,57,Writing,Spelling,Reading,Moderate
301,11,48,75,59,49,76,37,45,38,48,61,54,44,Spelling,Writing,Reading,Moderate
302,7,70,37,54,54,43,50,21,30,56,54,49,36,Spelling,Writing,Reading,Moderate
303,11,28,26,32,10,0,6,14,23,11,29,5,16,Writing,Spelling,Reading,Profound
