id,age,reading_speed,reading_accuracy,reading_comprehension,writing_speed,writing_quality,grammar_sentence,phonetic_spelling,irregular_word_spelling,spelling_accuracy,reading_avg,writing_avg,spelling_avg,primary_focus,secondary_focus,tertiary_focus,difficulty_level
59,12,61,35,34,41,52,52,30,57,57,43,48,48,Reading,Writing,Spelling,Moderate
60,18,29,40,2,24,33,9,27,37,0,24,22,21,Spelling,Writing,Reading,Profound
61,6,38,44,15,41,14,40,41,25,16,32,32,27,Spelling,Reading,Writing,Profound
62,14,89,82,57,60,84,67,77,78,93,76,70,83,Writing,Reading,Spelling,Mild
63,17,85,46,97,62,53,69,82,49,57,76,61,63,Writing,Spelling,Reading,Mild
64,12,18,55,13,62,37,59,45,25,7,29,53,26,Spelling,Reading,Writing,Severe
65,7,11,11,3,20,28,14,14,9,26,8,21,16,Reading,Spelling,Writing,Profound
66,13,47,23,44,50,46,41,61,61,46,38,46,56,Reading,Writing,Spelling,Moderate
67,16,42,30,34,13,9,22,8,6,36,35,15,17,Writing,Spelling,Reading,Profound
68,8,13,47,32,45,44,18,31,44,13,31,36,29,Spelling,Reading,Writing,Severe
69,10,71,80,76,63,54,46,66,79,80,76,54,75,Writing,Spelling,Reading,Mild
70,6,43,65,34,32,42,39,40,52,7,47,38,33,Spelling,Writing,Reading,Severe
71,9,36,15,54,0,49,9,25,50,11,35,19,29,Writing,Spelling,Reading,Severe
72,18,0,26,7,8,20,40,14,15,31,11,23,20,Reading,Spelling,Writing,Profound
73,9,44,67,43,22,30,37,17,26,28,51,30,24,Spelling,Writing,Reading,Severe
74,7,32,45,39,14,22,19,10,26,44,39,18,27,Writing,Spelling,Reading,Profound
75,18,29,12,39,35,23,22,30,18,32,27,27,27,Reading,Writing,Spelling,Profound
76,9,66,73,47,54,44,46,64,61,47,62,48,57,Writing,Spelling,Reading,Moderate
77,18,34,0,26,21,9,17,27,50,23,20,16,33,Writing,Reading,Spelling,Profound
78,8,50,7,60,34,64,49,13,38,26,39,49,26,Spelling,Reading,Writing,Severe
79,15,19,45,64,50,31,44,34,17,41,43,42,31,Spelling,Writing,Reading,Severe
80,14,74,54,42,35,41,36,68,33,48,57,37,50,Writing,Spelling,Reading,Moderate
81,9,24,21,33,27,28,49,37,4,37,26,35,26,Reading,Spelling,Writing,Profound
82,11,36,27,25,29,33,45,37,12,20,29,36,23,Spelling,Reading,Writing,Severe
83,13,38,35,44,31,44,54,23,55,6,39,43,28,Spelling,Reading,Writing,Severe
84,18,53,10,30,14,53,8,25,23,36,31,25,28,Writing,Spelling,Reading,Severe
85,17,65,62,52,19,53,22,29,44,63,60,31,45,Writing,Spelling,Reading,Moderate
86,8,65,35,61,50,49,25,22,50,46,54,41,39,Spelling,Writing,Reading,Moderate
87,6,30,44,47,35,26,48,62,46,22,40,36,43,Writing,Reading,Spelling,Severe
88,18,32,44,23,48,37,21,15,46,43,33,35,35,Reading,Writing,Spelling,Severe
89,17,7,25,19,27,31,34,19,22,40,17,31,27,Reading,Spelling,Writing,Profound
90,15,65,67,44,67,58,64,16,37,33,59,63,29,Spelling,Reading,Writing,Moderate
91,16,13,0,50,19,49,37,43,28,12,21,35,28,Reading,Spelling,Writing,Profound
92,16,18,12,31,34,25,35,31,22,30,20,31,28,Reading,Spelling,Writing,Profound
93,6,56,28,46,36,47,46,66,70,58,43,43,65,Reading,Writing,Spelling,Moderate
94,12,11,41,17,13,40,17,9,0,39,23,23,16,Spelling,Reading,Writing,Profound
95,18,23,35,34,62,48,67,43,69,78,31,59,63,Reading,Writing,Spelling,Moderate
96,7,79,92,53,84,86,71,75,44,50,75,80,56,Spelling,Reading,Writing,Mild
97,12,69,44,46,65,39,36,67,46,23,53,47,45,Spelling,Writing,Reading,Moderate
98,7,67,54,88,60,79,78,87,76,71,70,72,78,Reading,Writing,Spelling,Mild
99,6,15,40,32,34,0,1,23,32,12,29,12,22,Writing,Spelling,Reading,Profound
100,18,26,22,12,0,26,30,22,26,36,20,19,28,Writing,Reading,Spelling,Profound
101,14,49,50,43,20,13,23,30,40,8,47,19,26,Writing,Spelling,Reading,Severe
102,16,39,56,34,21,37,33,14,47,20,43,30,27,Spelling,Writing,Reading,Severe
103,16,68,42,36,27,39,23,43,49,40,49,30,44,Writing,Spelling,Reading,Moderate
104,12,71,19,25,51,23,35,50,57,67,38,36,58,Writing,Reading,Spelling,Moderate
105,6,48,18,48,42,43,60,27,63,43,38,48,44,Reading,Spelling,Writing,Severe
106,9,66,63,77,57,27,61,45,47,36,69,48,43,Spelling,Writing,Reading,Moderate
107,15,68,51,46,59,42,51,28,43,73,55,51,48,Spelling,Writing,Reading,Moderate
108,9,54,19,38,22,34,25,16,17,28,37,27,20,Spelling,Writing,Reading,Profound
109,10,7,24,30,5,39,18,13,16,33,20,21,21,Reading,Writing,Spelling,Profound
110,15,53,40,29,24,78,30,36,41,62,41,44,46,Reading,Writing,Spelling,Moderate
111,7,32,18,8,36,53,56,15,49,19,19,48,28,Reading,Spelling,Writing,Severe
112,18,62,46,60,63,60,31,24,42,47,56,51,38,Spelling,Writing,Reading,Moderate
113,9,54,58,78,35,57,38,32,25,39,63,43,32,Spelling,Writing,Reading,Moderate
114,13,67,55,28,33,47,48,40,42,56,50,43,46,Writing,Spelling,Reading,Moderate
115,15,85,59,90,57,67,92,91,48,81,78,72,73,Writing,Spelling,Reading,Mild
116,12,42,43,40,32,51,52,39,36,41,42,45,39,Spelling,Reading,Writing,Moderate
117,8,56,13,20,23,20,46,28,9,32,30,30,23,Spelling,Reading,Writing,Severe
118,13,57,31,33,33,67,30,42,22,44,40,43,36,Spelling,Reading,Writing,Moderate
119,17,50,85,98,84,91,67,56,44,73,78,81,58,Spelling,Reading,Writing,Mild
120,6,23,31,16,25,11,38,30,19,18,23,25,22,Spelling,Reading,Writing,Profound
121,9,32,37,65,24,39,54,64,58,60,45,39,61,Writing,Reading,Spelling,Moderate
122,8,17,44,28,26,26,7,35,37,35,30,20,36,Writing,Reading,Spelling,Profound
123,10,44,26,42,14,25,45,8,40,9,37,28,19,Spelling,Writing,Reading,Severe
124,14,40,13,12,16,37,30,34,19,33,22,28,29,Reading,Writing,Spelling,Profound
125,10,72,87,77,55,70,67,77,56,46,79,64,60,Spelling,Writing,Reading,Mild
126,17,67,73,73,45,48,41,34,80,45,71,45,53,Writing,Spelling,Reading,Moderate
127,16,44,63,39,11,7,18,62,34,24,49,12,40,Writing,Spelling,Reading,Severe
128,9,42,45,20,31,24,36,47,21,46,36,30,38,Writing,Reading,Spelling,Severe
129,15,23,29,22,56,27,46,30,40,20,25,43,30,Reading,Spelling,Writing,Severe
130,6,43,2,28,12,11,30,41,9,32,24,18,27,Writing,Reading,Spelling,Profound
131,17,31,13,36,44,31,15,11,35,26,27,30,24,Spelling,Reading,Writing,Profound
132,7,1,5,4,45,30,0,42,37,17,3,25,32,Reading,Writing,Spelling,Profound
133,7,40,35,25,24,14,15,2,33,17,33,18,17,Spelling,Writing,Reading,Profound
134,7,53,90,73,56,63,52,55,91,60,72,57,69,Writing,Spelling,Reading,Mild
135,16,32,54,22,0,29,8,19,3,1,36,12,8,Spelling,Writing,Reading,Profound
136,7,40,47,51,52,65,40,46,25,49,46,52,40,Spelling,Reading,Writing,Moderate
137,11,53,43,59,28,62,36,64,43,65,52,42,57,Writing,Reading,Spelling,Moderate
138,9,72,100,53,73,66,78,85,87,45,75,72,72,Writing,Spelling,Reading,Mild
139,11,43,80,44,67,39,58,30,50,33,56,55,38,Spelling,Writing,Reading,Moderate
140,11,20,44,66,40,33,56,38,58,44,43,43,47,Reading,Writing,Spelling,Severe
141,17,30,43,40,36,17,44,51,5,51,38,32,36,Writing,Spelling,Reading,Severe
142,8,27,51,22,63,17,34,55,16,41,33,38,37,Reading,Spelling,Writing,Severe
143,6,25,34,54,48,20,27,10,43,59,38,32,37,Writing,Spelling,Reading,Severe
144,15,6,7,60,34,18,16,42,21,31,24,23,31,Writing,Reading,Spelling,Severe
145,13,45,34,70,56,38,36,66,33,43,50,43,47,Writing,Spelling,Reading,Moderate
146,15,84,47,63,22,49,22,52,47,33,65,31,44,Writing,Spelling,Reading,Moderate
147,10,28,51,20,33,45,28,43,27,8,33,35,26,Spelling,Reading,Writing,Severe
148,17,44,74,55,29,59,55,67,31,64,58,48,54,Writing,Spelling,Reading,Moderate
149,9,32,43,21,11,20,20,6,15,12,32,17,11,Spelling,Writing,Reading,Profound
150,7,17,15,48,20,35,22,42,37,56,27,26,45,Writing,Reading,Spelling,Severe
151,12,44,30,55,22,61,57,72,74,57,43,47,68,Reading,Writing,Spelling,Moderate
152,15,36,24,18,33,27,43,50,31,29,26,34,37,Reading,Writing,Spelling,Severe
153,12,2,19,4,22,7,11,33,24,10,8,13,22,Reading,Writing,Spelling,Profound
154,14,14,54,39,20,51,7,44,54,54,36,26,51,Writing,Reading,Spelling,Severe
155,13,6,8,33,5,42,10,32,0,21,16,19,18,Reading,Spelling,Writing,Profound
156,15,21,30,34,2,31,7,29,35,16,28,13,27,Writing,Spelling,Reading,Profound
157,11,33,59,44,18,51,54,18,18,44,45,41,27,Spelling,Writing,Reading,Moderate
158,13,44,68,95,58,62,74,69,75,88,69,65,77,Writing,Reading,Spelling,Mild
159,16,31,41,62,60,56,62,32,48,45,45,59,42,Spelling,Reading,Writing,Moderate
160,14,19,21,43,7,35,21,33,45,27,28,21,35,Writing,Reading,Spelling,Severe
161,17,39,28,33,1,44,38,29,44,34,33,28,36,Writing,Reading,Spelling,Severe
162,12,43,56,49,28,51,42,39,16,26,49,40,27,Spelling,Writing,Reading,Severe
163,16,56,67,26,7,25,31,51,48,34,50,21,44,Writing,Spelling,Reading,Severe
164,7,78,59,62,65,73,69,76,72,77,66,69,75,Reading,Writing,Spelling,Mild
165,17,70,36,72,60,34,68,72,47,21,59,54,47,Spelling,Writing,Reading,Moderate
166,9,26,54,39,26,68,51,35,44,59,40,48,46,Reading,Spelling,Writing,Moderate
167,18,8,14,41,6,34,21,4,20,34,21,20,19,Spelling,Writing,Reading,Profound
168,6,10,0,22,8,21,29,29,36,0,11,19,22,Reading,Writing,Spelling,Profound
169,11,61,49,80,61,66,63,81,60,91,63,63,77,Reading,Writing,Spelling,Mild
170,17,48,42,35,42,27,17,45,31,14,42,29,30,Writing,Spelling,Reading,Severe
171,16,56,52,85,56,66,65,31,53,38,64,62,41,Spelling,Writing,Reading,Moderate
172,18,31,68,34,58,75,59,52,35,38,44,64,42,Spelling,Reading,Writing,Moderate
173,15,48,43,77,78,41,65,69,26,38,56,61,44,Spelling,Reading,Writing,Moderate
174,16,21,10,5,36,8,14,29,28,24,12,19,27,Reading,Writing,Spelling,Profound
175,9,39,30,34,12,35,22,13,19,8,34,23,13,Spelling,Writing,Reading,Profound
176,16,0,50,19,0,32,18,34,16,7,23,17,19,Writing,Spelling,Reading,Profound
177,10,10,27,45,30,0,0,23,26,16,27,10,22,Writing,Spelling,Reading,Profound
178,6,42,33,67,9,9,62,27,24,25,47,27,25,Spelling,Writing,Reading,Severe
179,14,47,24,60,60,46,31,21,13,31,44,46,22,Spelling,Reading,Writing,Severe
180,12,18,16,57,46,39,50,10,42,15,30,45,22,Spelling,Reading,Writing,Severe
181,11,56,66,61,67,34,42,65,58,58,61,48,60,Writing,Spelling,Reading,Moderate
182,9,47,34,0,44,18,13,19,17,3,27,25,13,Spelling,Writing,Reading,Profound
183,8,19,51,40,39,27,36,45,24,43,37,34,37,Writing,Reading,Spelling,Severe
184,8,64,66,54,53,17,53,29,27,48,61,41,35,Spelling,Writing,Reading,Moderate
185,6,48,42,31,49,3,37,48,44,21,40,30,38,Writing,Spelling,Reading,Severe
186,13,31,30,47,54,72,52,34,62,33,36,59,43,Reading,Spelling,Writing,Moderate
187,15,28,17,41,40,20,20,37,10,36,29,27,28,Writing,Spelling,Reading,Severe
188,12,47,17,25,16,29,33,39,27,34,30,26,33,Writing,Reading,Spelling,Profound
189,16,0,24,28,36,31,24,27,5,22,17,30,18,Reading,Spelling,Writing,Profound
190,11,13,32,12,24,19,7,36,16,51,19,17,34,Writing,Reading,Spelling,Profound
191,8,49,50,40,43,19,52,19,48,64,46,38,44,Writing,Spelling,Reading,Severe
192,7,70,89,67,49,69,48,82,67,63,75,55,71,Writing,Spelling,Reading,Mild
193,14,56,13,26,39,17,16,5,38,27,32,24,23,Spelling,Writing,Reading,Severe
194,9,76,79,95,71,62,83,50,63,82,83,72,65,Spelling,Writing,Reading,Mild
195,12,40,5,32,23,21,25,15,26,23,26,23,21,Spelling,Writing,Reading,Profound
196,10,3,28,10,8,8,7,10,32,27,14,8,23,Writing,Reading,Spelling,Profound
197,10,27,53,60,44,27,27,35,42,25,47,33,34,Writing,Spelling,Reading,Severe
198,16,65,73,95,65,89,59,73,47,69,78,71,63,Spelling,Writing,Reading,Mild
199,17,75,30,30,57,24,36,63,38,45,45,39,49,Writing,Reading,Spelling,Moderate
200,12,29,21,14,30,28,43,34,25,17,21,34,25,Reading,Spelling,Writing,Profound
201,14,92,89,69,54,69,75,69,52,85,83,66,69,Writing,Spelling,Reading,Mild
202,18,80,33,34,47,47,53,43,62,42,49,49,49,Reading,Writing,Spelling,Moderate
203,10,40,22,46,44,26,18,27,26,27,36,29,27,Spelling,Writing,Reading,Severe
204,16,7,52,20,23,20,21,19,40,13,26,21,24,Writing,Spelling,Reading,Profound
205,12,38,41,19,9,30,22,36,23,0,33,20,20,Writing,Spelling,Reading,Profound
206,11,39,27,2,8,28,31,15,33,46,23,22,31,Writing,Reading,Spelling,Profound
207,10,15,22,45,6,18,17,1,19,40,27,14,20,Writing,Spelling,Reading,Profound
208,11,46,95,68,86,61,57,75,56,56,70,68,62,Spelling,Writing,Reading,Mild
209,14,50,52,49,31,69,24,33,25,74,50,41,44,Writing,Spelling,Reading,Moderate
210,18,26,7,51,20,21,22,6,14,22,28,21,14,Spelling,Writing,Reading,Profound
211,6,56,41,32,35,62,0,55,26,23,43,32,35,Writing,Spelling,Reading,Severe
212,18,25,32,53,42,9,41,3,12,52,37,31,22,Spelling,Writing,Reading,Severe
213,16,27,55,28,31,52,42,21,22,7,37,42,17,Spelling,Reading,Writing,Severe
214,18,63,59,60,54,25,23,25,26,45,61,34,32,Spelling,Writing,Reading,Severe
215,9,57,12,34,9,12,45,50,11,40,34,22,34,Writing,Reading,Spelling,Severe
216,8,25,25,55,53,54,9,13,22,14,35,39,16,Spelling,Reading,Writing,Severe
217,12,45,32,56,41,59,35,4,26,30,44,45,20,Spelling,Reading,Writing,Severe
218,9,38,21,16,9,36,7,20,27,19,25,17,22,Writing,Spelling,Reading,Profound
219,11,83,50,67,27,17,61,55,27,25,67,35,36,Writing,Spelling,Reading,Moderate
220,12,15,40,65,18,44,32,38,28,46,40,31,37,Writing,Spelling,Reading,Severe
221,17,19,20,30,21,10,0,23,28,28,23,10,26,Writing,Reading,Spelling,Profound
222,6,97,71,82,66,54,59,70,58,68,83,60,65,Writing,Spelling,Reading,Mild
223,15,13,15,35,1,5,5,45,30,28,21,4,34,Writing,Reading,Spelling,Profound
224,16,100,79,55,75,58,64,71,73,57,78,66,67,Writing,Spelling,Reading,Mild
225,8,49,22,16,34,27,37,15,33,19,29,33,22,Spelling,Reading,Writing,Profound
226,8,13,55,35,19,35,45,40,21,16,34,33,26,Spelling,Writing,Reading,Profound
227,17,40,27,38,38,62,33,42,69,39,35,44,50,Reading,Writing,Spelling,Moderate
228,9,73,28,54,62,66,25,61,34,24,52,51,40,Spelling,Writing,Reading,Moderate
229,14,13,14,0,13,5,39,19,7,37,9,19,21,Reading,Writing,Spelling,Profound
230,11,11,16,20,32,5,38,26,2,0,16,25,9,Spelling,Reading,Writing,Profound
231,16,10,29,61,18,57,38,38,13,25,33,38,25,Spelling,Reading,Writing,Severe
232,7,39,14,20,32,39,22,30,21,12,24,31,21,Spelling,Reading,Writing,Profound
233,11,32,44,27,29,44,20,24,42,42,34,31,36,Writing,Reading,Spelling,Severe
234,8,30,18,46,60,52,58,27,49,39,31,57,38,Reading,Spelling,Writing,Severe
235,8,44,41,11,0,12,22,29,18,37,32,11,28,Writing,Spelling,Reading,Profound
236,9,28,11,31,35,43,11,36,38,45,23,30,40,Reading,Writing,Spelling,Severe
237,13,29,42,61,21,25,8,43,56,50,44,18,50,Writing,Reading,Spelling,Severe
238,7,23,62,71,48,75,47,49,46,61,52,57,52,Reading,Spelling,Writing,Moderate
239,6,34,30,60,65,37,49,43,16,36,41,50,32,Spelling,Reading,Writing,Moderate
240,11,36,11,36,2,35,51,53,10,34,28,29,32,Reading,Writing,Spelling,Severe
241,8,59,29,32,72,55,25,28,41,48,40,51,39,Spelling,Reading,Writing,Moderate
242,8,17,54,52,40,30,22,62,18,17,41,31,32,Writing,Spelling,Reading,Severe
243,7,63,41,53,40,23,34,0,37,31,52,32,23,Spelling,Writing,Reading,Severe
244,14,39,12,37,26,0,21,26,35,17,29,16,26,Writing,Spelling,Reading,Profound
245,6,35,26,4,41,35,11,19,28,30,22,29,26,Reading,Spelling,Writing,Profound
246,8,34,44,34,36,24,12,23,38,29,37,24,30,Writing,Spelling,Reading,Severe
247,15,57,73,31,41,21,58,32,57,41,54,40,43,Writing,Spelling,Reading,Moderate
248,13,25,33,22,26,21,64,21,15,27,27,37,21,Spelling,Reading,Writing,Severe
249,11,56,36,19,58,45,57,10,35,39,37,53,28,Spelling,Reading,Writing,Severe
250,10,53,69,76,26,61,47,64,56,30,66,45,50,Writing,Spelling,Reading,Moderate
251,13,55,69,43,40,26,32,51,47,63,56,33,54,Writing,Spelling,Reading,Moderate
252,6,70,63,62,96,54,60,65,57,78,65,70,67,Reading,Spelling,Writing,Mild
253,12,12,21,28,46,10,14,34,26,10,20,23,23,Reading,Writing,Spelling,Severe
254,10,41,45,35,32,12,45,22,23,65,40,30,37,Writing,Spelling,Reading,Severe
255,9,37,43,19,65,46,19,12,6,8,33,43,9,Spelling,Reading,Writing,Severe
256,14,49,51,60,76,32,71,65,50,40,53,60,52,Spelling,Reading,Writing,Moderate
257,9,36,73,45,42,38,40,37,20,77,51,40,45,Writing,Spelling,Reading,Moderate
258,6,30,15,20,43,10,21,47,34,14,22,25,32,Reading,Writing,Spelling,Profound
259,9,26,23,3,30,32,27,8,34,36,17,30,26,Reading,Spelling,Writing,Profound
260,12,23,26,36,31,19,34,9,8,31,28,28,16,Spelling,Reading,Writing,Profound
261,6,9,48,47,31,46,41,45,28,37,35,39,37,Reading,Spelling,Writing,Severe
262,8,12,6,38,43,29,29,4,43,41,19,34,29,Reading,Spelling,Writing,Severe
263,18,58,47,48,38,15,56,42,36,51,51,36,43,Writing,Spelling,Reading,Moderate
264,9,32,28,25,58,51,52,24,28,29,28,54,27,Spelling,Reading,Writing,Severe
265,10,45,34,53,52,38,45,59,42,21,44,45,41,Spelling,Reading,Writing,Moderate
266,13,64,65,79,51,84,68,84,92,74,69,68,83,Writing,Reading,Spelling,Mild
267,10,47,23,13,34,6,15,4,16,31,28,18,17,Spelling,Writing,Reading,Profound
268,18,22,23,9,30,24,7,21,4,38,18,20,21,Reading,Writing,Spelling,Profound
269,11,0,43,2,48,40,11,42,16,21,15,33,26,Reading,Spelling,Writing,Profound
270,12,21,16,32,9,28,14,20,8,27,23,17,18,Writing,Spelling,Reading,Profound
271,16,36,43,21,16,55,75,45,60,69,33,49,58,Reading,Writing,Spelling,Moderate
272,16,58,61,48,24,45,38,24,28,28,56,36,27,Spelling,Writing,Reading,Moderate
273,11,47,47,45,70,60,50,49,61,63,46,60,58,Reading,Spelling,Writing,Moderate
274,10,29,30,44,36,21,44,42,29,44,34,34,38,Reading,Writing,Spelling,Severe
275,16,84,68,76,78,79,83,74,76,88,76,80,79,Reading,Spelling,Writing,Mild
276,9,2,6,26,28,39,17,0,12,20,11,28,11,Reading,Spelling,Writing,Profound
277,14,23,30,42,25,74,36,55,39,24,32,45,39,Reading,Spelling,Writing,Moderate
278,15,79,71,62,77,61,84,44,74,81,71,74,66,Spelling,Reading,Writing,Mild
279,10,25,58,20,20,43,37,34,19,49,34,33,34,Writing,Reading,Spelling,Severe
280,9,51,11,14,20,31,23,11,25,9,25,25,15,Spelling,Reading,Writing,Severe
281,16,44,33,60,52,33,33,33,30,8,46,39,24,Spelling,Writing,Reading,Severe
282,14,94,77,78,55,54,78,60,53,65,83,62,59,Spelling,Writing,Reading,Mild
283,17,57,28,51,48,55,65,42,43,72,45,56,52,Reading,Spelling,Writing,Moderate
284,12,28,20,0,2,7,29,8,28,28,16,13,21,Writing,Reading,Spelling,Profound
285,17,81,58,74,64,74,79,54,62,79,71,72,65,Spelling,Reading,Writing,Mild
286,13,40,12,14,30,24,23,38,38,38,22,26,38,Reading,Writing,Spelling,Profound
287,17,100,65,72,72,70,69,39,76,75,79,70,63,Spelling,Writing,Reading,Mild
288,17,32,38,70,42,50,52,18,31,38,47,48,29,Spelling,Reading,Writing,Severe
289,13,98,71,59,65,74,66,55,66,76,76,68,66,Spelling,Writing,Reading,Mild
290,10,29,30,44,26,23,31,10,0,21,34,27,10,Spelling,Writing,Reading,Profound
291,17,0,8,1,12,22,25,15,17,37,3,20,23,Reading,Writing,Spelling,Profound
292,15,61,66,53,43,39,51,46,29,23,60,44,33,Spelling,Writing,Reading,Moderate
293,14,22,32,0,3,23,41,3,29,29,18,22,20,Reading,Spelling,Writing,Profound
294,16,0,52,49,29,23,13,13,34,26,34,22,24,Writing,Spelling,Reading,Profound
295,13,21,20,46,39,15,42,53,19,17,29,32,30,Reading,Spelling,Writing,Severe
296,13,79,69,90,83,71,52,47,42,64,79,69,51,Spelling,Writing,Reading,Mild
297,17,40,38,30,30,44,2,22,23,33,36,25,26,Writing,Spelling,Reading,Severe
298,18,19,43,30,15,30,0,15,15,14,31,15,15,Writing,Spelling,Reading,Profound
299,15,52,46,45,21,6,9,48,66,54,48,12,56,Writing,Reading,Spelling,Severe
300,6,28,46,30,51,27,51,37,31,9,35,43,26,Spelling,Reading,Writing,Severe
301,15,18,53,10,38,38,14,9,41,60,27,30,37,Reading,Writing,Spelling,Severe
302,15,26,32,32,0,10,3,19,29,18,30,4,22,Writing,Spelling,Reading,Profound
303,6,42,23,23,39,10,29,12,8,11,29,26,10,Spelling,Writing,Reading,Profound
